"Código","País","Programa","Área","Oferente","Tipo curso","Título","Inicio","Fin","Duración","Idioma","Entrega documentos","Fecha comité becas","Institución","Ciudad","Cantidad","Porcentaje","Cubrimiento","Observaciones"
"2254618","Singapur (República de Singapur)","LEADERSHIP DEVELOPMENT PROGRAMME","ADMINISTRACIÓN","GOBIERNO DE SINGAPUR - SCP","Presencial","CERTIFICADO DEL CURSO","2018-05-14","2018-05-18","5 Día(s)","Inglés","2018-04-02","2018-04-05","NATIONAL UNIVERSITY OF SINGAPORE - BUSINESS SCHOOL","Singapur","1","100%","COMPLETA"," "
"2254718","Israel (Estado de Israel)","ENVIRONMENTAL MANAGEMENT OF NATURE PARKS AND RESERVES: FOCUS ON ECOSYSTEM SERVICES","CIENCIAS NATURALES Y ECOLOGIA","GOBIERNO DE ISRAEL","Presencial","CERTIFICADO DEL CURSO","2018-06-10","2018-06-29","3 Semana(s)","Inglés","2018-04-04","2018-04-12","INSTITUTO ARAVA DE ESTUDIOS AMBIENTALES","Kibbutz Ketura","NO DETERMINADO","80%","PARCIAL","NO INCLUYE TIQUETES AÉREOS"
"2254818","Israel (Estado de Israel)","POLITICAL EMPOWERMENT OF WOMEN","CIENCIAS SOCIALES","GOBIERNO DE ISRAEL","Presencial","CERTIFICADO DEL CURSO","2018-06-18","2018-06-28","11 Día(s)","Inglés","2018-04-04","2018-04-12","CENTRO INTERNACIONAL DE CAPACITACIÓN GOLDA MEIR MONTE CARMEL (MCTC)","Haifa","NO DETERMINADO","80%","PARCIAL","NO INCLUYE TIQUETES AÉREOS"
"2254918","Singapur (República de Singapur)","PUBLIC POLICY AND PRIVATE SECTOR DEVELOPMENT","ADMINISTRACIÓN","GOBIERNO DE SINGAPUR - SCP","Presencial","CERTIFICADO DEL CURSO","2018-06-18","2018-06-22","5 Día(s)","Inglés","2018-04-04","2018-04-12","LEE KUAN YEW SCHOOL OF PUBLIC POLICY","Singapur","1","100%","COMPLETA"," "
"2255018","Singapur (República de Singapur)","COMMUNICATIONS FOR PUBLIC POLICY DELIVERY","ADMINISTRACIÓN","GOBIERNO DE SINGAPUR - SCP","Presencial","CERTIFICADO DEL CURSO","2018-10-01","2018-10-05","5 Día(s)","Inglés","2018-06-27","2018-07-12","LEE KUAN YEW SCHOOL OF PUBLIC POLICY","Singapur","1","100%","COMPLETA"," "
"3002018","Canadá (Canadá)","REDUCCIÓN DE COLEGIATURA EN UNIVERSIDADES QUEBEQUENSES PARA PROGRAMAS DE POSGRADO","MAESTRÍAS Y DOCTORADOS EN DIFERENTES ÁREAS","MINISTÈRE DE L'ENSEIGNEMENT SUPÈRIEUR - CANADÁ","Presencial","TÍTULO OTORGADO POR LA UNIVERSIDAD RESPECTIVA","2018-10-02","2021-10-04","24 - 36","INGLÉS Ó FRANCÉS","2018-05-31","2018-06-14","DIFERENTES CENTROS DOCENTES E INSTITUCIONES","DIFERENTES CIUDADES - CANADÁ","2","70%","PARCIAL","Se otorgarán 2 becas de reducción de matrícula para realizar estudios de maestría."
"3002018","Canadá (Canadá)","REDUCCIÓN DE COLEGIATURA EN UNIVERSIDADES QUEBEQUENSES PARA PROGRAMAS DE POSGRADO","MAESTRÍAS Y DOCTORADOS EN DIFERENTES ÁREAS","MINISTÈRE DE L'ENSEIGNEMENT SUPÈRIEUR - CANADÁ","Presencial","TÍTULO OTORGADO POR LA UNIVERSIDAD RESPECTIVA","2018-10-02","2021-10-04","24 - 36","INGLÉS Ó FRANCÉS","2018-05-31","2018-06-14","DIFERENTES CENTROS DOCENTES E INSTITUCIONES","DIFERENTES CIUDADES - CANADÁ","3","70%","PARCIAL","Se otorgarán 3 becas de reducción de matrícula para estudios de doctorado."
"3202318","Polonia (República de Polonia)","PROGRAMA DE INVESTIGACIÓN EN CIENCIA, TECNOLOGÍA E INGENIERÍA","INGENIERIA Y AFINES","UNESCO","Presencial","CERTIFICADO DEL CURSO","2018-10-01","2019-03-01","6 Mes(es)","Inglés","2018-04-02","2018-04-12","AGH UNIVERSITY OF SCIENCE AND TECHNOLOGY","Cracovia","NO DETERMINADO","100%","COMPLETA","1. POR PARTE DE LA COMISIÓN NACIONAL POLACA PARA UNESCO: Se cubrirán gastos de matrícula, alojamiento, estipendio mensual y gastos de instalación. 2. POR PARTE DE UNESCO: Tiquetes aéreos de ida y regreso en clase económica y seguro de salud."
"3500518","Rusia (Federación Rusa)","ESTUDIOS DE DOCTORADO EN DIFERENTES ÁREAS EN RUSIA","DOCTORADO EN DIFERENTES ÁREAS","GOBIERNO DE LA FEDERACIÓN DE RUSIA","Presencial","TÍTULO OTORGADO POR LA UNIVERSIDAD RESPECTIVA","2018-09-17","2022-09-30","3 - 4","Ruso","2018-04-02","2018-04-12","DIFERENTES CENTROS DOCENTES E INSTITUCIONES","DIFERENTES CIUDADES - RUSIA","NO DETERMINADO","70%","PARCIAL","NO CUBRE: TIQUETES AÉREOS NI SEGURO MÉDICO."
"3500518","Rusia (Federación Rusa)","ESTUDIOS DE DOCTORADO EN DIFERENTES ÁREAS EN RUSIA","DOCTORADO EN DIFERENTES ÁREAS","GOBIERNO DE LA FEDERACIÓN DE RUSIA","Presencial","TÍTULO OTORGADO POR LA UNIVERSIDAD RESPECTIVA","2018-09-17","2022-09-30","3 - 4","Ruso","2018-04-02","2018-04-12","DIFERENTES CENTROS DOCENTES E INSTITUCIONES","DIFERENTES CIUDADES - RUSIA","1","75%","PARCIAL","ÚNICAMENTE se otorgará 1 beca para el programa de MEDICINA (con requerimiento del dominio del ruso, no se ofrece un año de preparatoria)"
"4500718","Rusia (Federación Rusa)","ESTUDIOS DE PREGRADO EN DIFERENTES ÁREAS EN RUSIA","PREGRADO EN DIFERENTES AREAS","GOBIERNO DE LA FEDERACIÓN DE RUSIA","Presencial","TÍTULO OTORGADO POR LA UNIVERSIDAD RESPECTIVA","2018-09-17","2024-09-27","4 - 6","Ruso","2018-04-02","2018-04-12","DIFERENTES CENTROS DOCENTES E INSTITUCIONES","DIFERENTES CIUDADES - RUSIA","3","75%","PARCIAL","Se otorgarán mínimo 3 becas para el programa de GEOCIENCIAS."
"4500718","Rusia (Federación Rusa)","ESTUDIOS DE PREGRADO EN DIFERENTES ÁREAS EN RUSIA","PREGRADO EN DIFERENTES AREAS","GOBIERNO DE LA FEDERACIÓN DE RUSIA","Presencial","TÍTULO OTORGADO POR LA UNIVERSIDAD RESPECTIVA","2018-09-17","2024-09-27","4 - 6","Ruso","2018-04-02","2018-04-12","DIFERENTES CENTROS DOCENTES E INSTITUCIONES","DIFERENTES CIUDADES - RUSIA","2","75%","PARCIAL","Se otorgarán mínimo 2 becas para el programa de MASS MEDIA AND LIBRARY AND INFORMATION ACTIVITIES."
"4500718","Rusia (Federación Rusa)","ESTUDIOS DE PREGRADO EN DIFERENTES ÁREAS EN RUSIA","PREGRADO EN DIFERENTES AREAS","GOBIERNO DE LA FEDERACIÓN DE RUSIA","Presencial","TÍTULO OTORGADO POR LA UNIVERSIDAD RESPECTIVA","2018-09-17","2024-09-27","4 - 6","Ruso","2018-04-02","2018-04-12","DIFERENTES CENTROS DOCENTES E INSTITUCIONES","DIFERENTES CIUDADES - RUSIA","NO DETERMINADO","75%","PARCIAL","NO CUBRE: TIQUETES AÉREOS NI SEGURO MÉDICO."
"4500718","Rusia (Federación Rusa)","ESTUDIOS DE PREGRADO EN DIFERENTES ÁREAS EN RUSIA","PREGRADO EN DIFERENTES AREAS","GOBIERNO DE LA FEDERACIÓN DE RUSIA","Presencial","TÍTULO OTORGADO POR LA UNIVERSIDAD RESPECTIVA","2018-09-17","2024-09-27","4 - 6","Ruso","2018-04-02","2018-04-12","DIFERENTES CENTROS DOCENTES E INSTITUCIONES","DIFERENTES CIUDADES - RUSIA","2","75%","PARCIAL","Se otorgarán mínimo 2 becas para el programa de LINGUISTICS AND LITERARY STUDIES."
