"Código","País","Programa","Área","Oferente","Tipo curso","Título","Inicio","Fin","Duración","Idioma","Entrega documentos","Fecha comité becas","Institución","Ciudad","Cantidad","Porcentaje","Cubrimiento","Observaciones"
"6218218","Francia (República de Francia)","MAESTRÍAS EN DIFERENTES ÁREAS","MAESTRÍAS EN DIFERENTES ÁREAS","RENNES SCHOOL OF BUSINESS","Presencial","TÍTULO OTORGADO POR ESTA UNIVERSIDAD","2018-09-03","2019-11-29","15 Mes(es)","Inglés","2018-05-31","2018-06-14","RENNES SCHOOL OF BUSINESS","RENNES","2","50%","PARCIAL","La beca otorgada corresponde a exención de matrícula. NOTA: El porcentaje se adjudicará con base en el puntaje final de preselección obtenido por cada estudiante de acuerdo con los parámetros señalados en esta convocatoria."
"6218218","Francia (República de Francia)","MAESTRÍAS EN DIFERENTES ÁREAS","MAESTRÍAS EN DIFERENTES ÁREAS","RENNES SCHOOL OF BUSINESS","Presencial","TÍTULO OTORGADO POR ESTA UNIVERSIDAD","2018-09-03","2019-11-29","15 Mes(es)","Inglés","2018-05-31","2018-06-14","RENNES SCHOOL OF BUSINESS","RENNES","1","100%","COMPLETA","ÚNICAMENTE cubre los costos de matrícula. NOTA: El porcentaje se adjudicará con base en el puntaje final de preselección obtenido por cada estudiante de acuerdo con los parámetros señalados en esta convocatoria."
"6219818","Taiwán (República de China)","PROGRAMAS DE MAESTRÍA O DOCTORADO EN UNIVERSIDADES DE TAIWÁN","MAESTRÍAS Y DOCTORADOS EN DIFERENTES ÁREAS","MINIS.EDUC. DE LA REPÚBLICA DE CHINA (TAIWÁN)","Presencial","TÍTULO OTORGADO POR LA UNIVERSIDAD RESPECTIVA","2018-09-03","2022-08-31","2 - 4","Inglés","2018-04-13","2018-04-26","Diferentes centros docentes","Diferentes ciudades - Taiwan","3","70%","PARCIAL","NO INCLUYE: tiquetes aéreos, costos de tutorías/asesorías para tesis, alojamiento ni acceso a internet."
"6220618","Reino Unido (Reino Unido de Gran Bretaña e Irlanda del Norte)","ESTUDIOS DE MAESTRÍA EN DIFERENTES ÁREAS","CIENCIAS SOCIALES","UNIVERSITY OF ABERDEEN","Presencial","TÍTULO OTORGADO POR ESTA UNIVERSIDAD","2018-09-03","2019-09-17","12 Mes(es)","Inglés","2018-07-11","2018-07-26","UNIVERSITY OF ABERDEEN","ABERDEEN","1","40%","PARCIAL","Se otorgará 1 beca del 40% de exención de matrícula para uno de los siguientes programas:1. Msc in Post-Conflict, Justice and Peacebuilding.2. Msc in Sex, Gender & Violence.3. Msc in Global Conflict and Peace Process."
"6220718","Australia (Mancomunidad de Australia)","MAESTRÍA EN ADMINISTRACIÓN DE EMPRESAS (MBA)","ADMINISTRACIÓN - ECONOMÍA","AUSTRALIAN INSTITUTE OF MANAGEMENT BUSINESS SCHOOL","Virtual","TÍTULO OTORGADO POR ESTA UNIVERSIDAD","2018-05-07","2019-11-08","18 Mes(es)","Inglés","2018-04-17","2018-04-26","AUSTRALIAN INSTITUTE OF MANAGEMENT EDUCATION AND TRAINING","Sydney","100","60%","PARCIAL","60% de becas calculado sobre el precio completo del programa anunciado en Australia."
"6220818","Corea del Sur (República de Corea)","MASTER'S DEGREE PROGRAM IN GLOBAL EDUCATION LEADERSHIP","CIENCIAS DE LA EDUCACION","REPÚBLICA DE COREA - KOICA","Presencial","TÍTULO OTORGADO POR LA UNIVERSIDAD RESPECTIVA","2018-08-01","2019-12-20","16 Mes(es)","Inglés","2018-04-04","2018-04-12","KOREA NATIONAL UNIVERSITY OF EDUCATION","SEONGNAM & CHEONGJU","HASTA 2","100%","COMPLETA"," "
"6220918","Corea del Sur (República de Corea)","MASTER'S DEGREE IN REGULATION MANAGEMENT FOR ECONOMIC DEVELOPMENT","CIENCIAS SOCIALES Y ECONOMIA","REPÚBLICA DE COREA - KOICA","Presencial","TÍTULO OTORGADO POR LA UNIVERSIDAD RESPECTIVA","2018-08-01","2019-12-27","16 Mes(es)","Inglés","2018-04-04","2018-04-12","KDI SCHOOL OF PUBLIC POLICY AND MANAGEMENT","SEJONG & SEONGNAM","HASTA 2","100%","COMPLETA"," "
"6221018","Corea del Sur (República de Corea)","MASTER'S DEGREE IN TECHNO - ENTREPRENEURSHIP COMPETENCY BASED ON EE&ICT; CONVERGENCE","CIENCIAS SOCIALES Y ECONOMIA","REPÚBLICA DE COREA - KOICA","Presencial","TÍTULO OTORGADO POR LA UNIVERSIDAD RESPECTIVA","2018-08-06","2020-01-05","17 Mes(es)","Inglés","2018-04-04","2018-04-12","HANDONG GLOBAL UNIVERSITY","POHANG & SEONGNAM","HASTA 2","100%","COMPLETA"," "
"6500918","Rusia (Federación Rusa)","MAESTRÍAS EN DIFERENTES ÁREAS EN RUSIA","MAESTRÍAS EN DIFERENTES ÁREAS","GOBIERNO DE LA FEDERACIÓN DE RUSIA","Presencial","TÍTULO OTORGADO POR LA UNIVERSIDAD RESPECTIVA","2018-09-17","2021-09-24","2 - 3","Ruso","2018-04-02","2018-04-12","DIFERENTES CENTROS DOCENTES E INSTITUCIONES","DIFERENTES CIUDADES - RUSIA","4","75%","PARCIAL","ÚNICAMENTE se otorgarán 4 becas para el programa de MEDICINA (ordinatura)."
"6500918","Rusia (Federación Rusa)","MAESTRÍAS EN DIFERENTES ÁREAS EN RUSIA","MAESTRÍAS EN DIFERENTES ÁREAS","GOBIERNO DE LA FEDERACIÓN DE RUSIA","Presencial","TÍTULO OTORGADO POR LA UNIVERSIDAD RESPECTIVA","2018-09-17","2021-09-24","2 - 3","Ruso","2018-04-02","2018-04-12","DIFERENTES CENTROS DOCENTES E INSTITUCIONES","DIFERENTES CIUDADES - RUSIA","2","75%","PARCIAL","Se otorgarán mínimo 2 becas para el programa de GEOCIENCIAS."
"6500918","Rusia (Federación Rusa)","MAESTRÍAS EN DIFERENTES ÁREAS EN RUSIA","MAESTRÍAS EN DIFERENTES ÁREAS","GOBIERNO DE LA FEDERACIÓN DE RUSIA","Presencial","TÍTULO OTORGADO POR LA UNIVERSIDAD RESPECTIVA","2018-09-17","2021-09-24","2 - 3","Ruso","2018-04-02","2018-04-12","DIFERENTES CENTROS DOCENTES E INSTITUCIONES","DIFERENTES CIUDADES - RUSIA","2","75%","PARCIAL","Se otorgarán mínimo 2 becas para el programa de MASS MEDIA AND LIBRARY AND INFORMATION ACTIVITIES."
"6500918","Rusia (Federación Rusa)","MAESTRÍAS EN DIFERENTES ÁREAS EN RUSIA","MAESTRÍAS EN DIFERENTES ÁREAS","GOBIERNO DE LA FEDERACIÓN DE RUSIA","Presencial","TÍTULO OTORGADO POR LA UNIVERSIDAD RESPECTIVA","2018-09-17","2021-09-24","2 - 3","Ruso","2018-04-02","2018-04-12","DIFERENTES CENTROS DOCENTES E INSTITUCIONES","DIFERENTES CIUDADES - RUSIA","NO DETERMINADO","75%","PARCIAL","NO CUBRE: TIQUETES AÉREOS NI SEGURO MÉDICO."
"6500918","Rusia (Federación Rusa)","MAESTRÍAS EN DIFERENTES ÁREAS EN RUSIA","MAESTRÍAS EN DIFERENTES ÁREAS","GOBIERNO DE LA FEDERACIÓN DE RUSIA","Presencial","TÍTULO OTORGADO POR LA UNIVERSIDAD RESPECTIVA","2018-09-17","2021-09-24","2 - 3","Ruso","2018-04-02","2018-04-12","DIFERENTES CENTROS DOCENTES E INSTITUCIONES","DIFERENTES CIUDADES - RUSIA","2","75%","PARCIAL","Se otorgarán mínimo 2 becas para el programa de LINGUISTICS AND LITERARY STUDIES."
"6900918","Diferentes Países","BECAS DE MAESTRÍA, DOCTORADO Y/O INVESTIGACIÓN","POSGRADO DIFERENTES AREAS","OEA","Presencial, virtual, semipresencial","TÍTULO OTORGADO POR LA UNIVERSIDAD RESPECTIVA","2018-08-13","2020-08-31","1 - 2","El idioma depende del país donde se lleve a cabo el programa","2018-04-11","2018-04-26","DIFERENTES CENTROS DOCENTES E INSTITUCIONES","DIFERENTES CIUDADES","DE 1 A 3","70%","PARCIAL","Las becas tienen un tope máximo de USD$ 15.000 por año académico y estarán sujetas con la disponibilidad presupuestal de la OEA. - Los beneficios que se asignan a los becarios son determinados caso por caso, (NO todas las becas incluyen los mismos beneficios) y podrían incluir los beneficios relacionados en el ""CUBRIMIENTO"" en la presente convocatoria."
